data0071: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0071_watertight.obj
data0072: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0072_watertight.obj
data0073: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0073_watertight.obj
data0075: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0075_watertight.obj
data0076: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0076_watertight.obj
data0077: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0077_watertight.obj
data0078: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0078_watertight.obj
data0079: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0079_watertight.obj
data0080: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0080_watertight.obj
data0081: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0081_watertight.obj
data0082: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0082_watertight.obj
data0083: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0083_watertight.obj
data0084: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0084_watertight.obj
data0085: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0085_watertight.obj
data0086: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0086_watertight.obj
data0087: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0087_watertight.obj
data0088: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0088_watertight.obj
data0089: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0089_watertight.obj
data0090: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0090_watertight.obj
data0091: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0091_watertight.obj
data0092: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0092_watertight.obj
data0093: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0093_watertight.obj
data0094: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0094_watertight.obj
data0095: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0095_watertight.obj
data0096: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0096_watertight.obj
data0097: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0097_watertight.obj
data0098: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0098_watertight.obj
data0099: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0099_watertight.obj
data0101: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0101_watertight.obj
data0102: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0102_watertight.obj
data0103: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0103_watertight.obj
data0104: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0104_watertight.obj
data0105: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0105_watertight.obj
data0106: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0106_watertight.obj
data0107: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0107_watertight.obj
data0108: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0108_watertight.obj
data0109: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0109_watertight.obj
data0110: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0110_watertight.obj
data0111: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0111_watertight.obj
data0112: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0112_watertight.obj
data0113: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0113_watertight.obj
data0114: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0114_watertight.obj
data0115: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0115_watertight.obj
data0116: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0116_watertight.obj
data0117: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0117_watertight.obj
data0118: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0118_watertight.obj
data0119: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0119_watertight.obj
data0120: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0120_watertight.obj
data0121: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0121_watertight.obj
data0122: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0122_watertight.obj
data0123: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0123_watertight.obj
data0124: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0124_watertight.obj
data0126: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0126_watertight.obj
data0127: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0127_watertight.obj
data0128: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0128_watertight.obj
data0129: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0129_watertight.obj
data0130: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0130_watertight.obj
data0131: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0131_watertight.obj
data0132: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0132_watertight.obj
data0133: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0133_watertight.obj
data0134: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0134_watertight.obj
data0135: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0135_watertight.obj
data0136: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0136_watertight.obj
data0137: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0137_watertight.obj
data0138: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0138_watertight.obj
data0139: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0139_watertight.obj
data0140: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0140_watertight.obj
data0141: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0141_watertight.obj
data0142: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0142_watertight.obj
data0143: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0143_watertight.obj
data0144: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0144_watertight.obj
data0145: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0145_watertight.obj
data0146: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0146_watertight.obj
data0147: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0147_watertight.obj
data0148: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0148_watertight.obj
data0149: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0149_watertight.obj
data0150: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0150_watertight.obj
data0151: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0151_watertight.obj
data0152: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0152_watertight.obj
data0153: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0153_watertight.obj
data0154: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0154_watertight.obj
data0155: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0155_watertight.obj
data0156: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0156_watertight.obj
data0157: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0157_watertight.obj
data0159: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0159_watertight.obj
data0160: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0160_watertight.obj
data0161: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0161_watertight.obj
data0162: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0162_watertight.obj
data0163: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0163_watertight.obj
data0164: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0164_watertight.obj
data0166: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0166_watertight.obj
data0167: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0167_watertight.obj
data0168: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0168_watertight.obj
data0169: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0169_watertight.obj
data0170: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0170_watertight.obj
data0171: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0171_watertight.obj
data0172: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0172_watertight.obj
data0173: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0173_watertight.obj
data0174: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0174_watertight.obj
data0175: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0175_watertight.obj
data0176: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0176_watertight.obj
data0177: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0177_watertight.obj
data0179: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0179_watertight.obj
data0180: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0180_watertight.obj
data0181: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0181_watertight.obj
data0182: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0182_watertight.obj
data0183: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0183_watertight.obj
data0184: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0184_watertight.obj
data0186: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0186_watertight.obj
data0187: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0187_watertight.obj
data0188: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0188_watertight.obj
data0190: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0190_watertight.obj
data0191: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0191_watertight.obj
data0193: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0193_watertight.obj
data0195: ok, watertight: False, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0195_watertight.obj
data0196: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0196_watertight.obj
data0197: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0197_watertight.obj
data0198: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0198_watertight.obj
data0199: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0199_watertight.obj
data0200: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0200_watertight.obj
data0201: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0201_watertight.obj
data0202: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0202_watertight.obj
data0204: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0204_watertight.obj
data0205: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0205_watertight.obj
data0206: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0206_watertight.obj
data0207: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0207_watertight.obj
data0208: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0208_watertight.obj
data0209: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0209_watertight.obj
data0210: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0210_watertight.obj
data0211: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0211_watertight.obj
data0212: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0212_watertight.obj
data0213: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0213_watertight.obj
data0214: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0214_watertight.obj
data0216: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0216_watertight.obj
data0217: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0217_watertight.obj
data0218: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0218_watertight.obj
data0219: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0219_watertight.obj
data0220: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0220_watertight.obj
data0221: ok, watertight: True, saved: /root/octfusion/data/mask_crown/crown_585/mesh_obj/mask_watertight/data0221_watertight.obj
